mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	1/2	3/4	2	1		{	Ab	I									{		0	0				
2	1	0	0	3/4	2	1		Ab.V	Ab	I		V	V							M	0	0	1, 5, 2		1	1
2	1	1/2	1/2	3/4	2	1		V7	Ab	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
3	2	0	0	3/4	2	1		V(64)	Ab	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
4	3	0	0	3/4	2	1		V7	Ab	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
4	3	1/2	1/2	3/4	2	1		V7(9)	Ab	I		V7(9)	V		7	9				Mm7	0	0	1, 5, 2, -1	3	1	1
5	4	0	0	3/4	2	1		V(64)	Ab	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
7	6	0	0	3/4	2	1		V(4)	Ab	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
7	6	1/4	1/4	3/4	2	1		V	Ab	I		V	V							M	0	0	1, 5, 2		1	1
8	7	0	0	3/4	2	1		V(9)	Ab	I		V(9)	V			9				M	0	0	1, 5, 2	3	1	1
8	7	1/8	1/8	3/4	2	1		V	Ab	I		V	V							M	0	0	1, 5, 2		1	1
8	7	1/4	1/4	3/4	2	1		V7	Ab	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
9	8	0	0	3/4	2	1		I}	Ab	I		I	I						}	M	0	0	0, 4, 1		0	0
12	10	0	0	3/4	2	1		ii	Ab	I		ii	ii							m	0	0	2, -1, 3		2	2
13	11	0	0	3/4	2	1		V7/IV	Ab	I		V7/IV	V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
14	12	0	0	3/4	2	1		IV	Ab	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
15	13	0	0	3/4	2	1		V7	Ab	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
16	14	0	0	3/4	2	1		V(7#5)	Ab	I		V(7#5)	V			7#5				M	0	0	1, 5, 9	-1	1	1
16	14	1/4	1/4	3/4	2	1		V(64)	Ab	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
17	15	0	0	3/4	2	1		V7	Ab	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
18	16	0	0	3/4	2	1		I}	Ab	I		I	I						}	M	0	0	0, 4, 1		0	0
