mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	markers	jump_bwd	jump_fwd	play_until	next
1	0	2	3/4	1/4	1/2			1			firstMeasure					2
2	1	2	3/4	3/4	0											3
3	2	2	3/4	3/4	0											4
4	3	2	3/4	3/4	0											5
5	4	2	3/4	3/4	0											6
6	5	2	3/4	3/4	0											7
7	6	2	3/4	3/4	0											8
8	7	2	3/4	3/4	0											9
9	8	2	3/4	1/2	0					line	end					1, 10
10	8	2	3/4	1/4	1/2			1	start-repeat		start					11
11	9	2	3/4	3/4	0											12
12	10	2	3/4	3/4	0											13
13	11	2	3/4	3/4	0											14
14	12	2	3/4	3/4	0											15
15	13	2	3/4	3/4	0											16
16	14	2	3/4	3/4	0											17
17	15	2	3/4	3/4	0					line						18
18	16	2	3/4	3/4	0											19
19	17	2	3/4	3/4	0											20
20	18	2	3/4	3/4	0											21
21	19	2	3/4	3/4	0											22
22	20	2	3/4	3/4	0											23
23	21	2	3/4	3/4	0											24
24	22	2	3/4	3/4	0											25
25	23	2	3/4	3/4	0											26
26	24	2	3/4	1/2	0					line	end	fine				10
