mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	0	3/4	1/4	1/2			1			firstMeasure	2
2	1	0	3/4	3/4	0							3
3	2	0	3/4	3/4	0							4
4	3	0	3/4	3/4	0							5
5	4	0	3/4	3/4	0							6
6	5	0	3/4	3/4	0							7
7	6	0	3/4	3/4	0					line		8
8	7	0	3/4	3/4	0							9
9	8	0	3/4	1/2	0						end	1, 10
10	8	0	3/4	1/4	1/2			1			start	11
11	9	0	3/4	3/4	0							12
12	10	0	3/4	3/4	0							13
13	11	0	3/4	3/4	0					line		14
14	12	0	3/4	3/4	0							15
15	13	0	3/4	3/4	0							16
16	14	0	3/4	3/4	0							17
17	15	0	3/4	3/4	0							18
18	16	0	3/4	3/4	0							19
19	17	0	3/4	3/4	0					line		20
20	18	0	3/4	3/4	0							21
21	19	0	3/4	3/4	0							22
22	20	0	3/4	3/4	0							23
23	21	0	3/4	3/4	0					line		24
24	22	0	3/4	3/4	0							25
25	23	0	3/4	3/4	0							26
26	24	0	3/4	1/2	0						end	10, -1
